H12	西海民族音像出版社
M01	人民教育出版社
M02	高等教育出版社
M03	中国人民大学出版社
M04	北京语言学院出版社
M05	国防工业出版社
M06	民族出版社
M07	国际文化出版公司
M08	中国劳动出版社地质出版社
M09	地质出版社
M10	机械工业出版社
M11	电子工业出版社
M12	中国轻工业出版社
M13	中国铁道出版社
M14	人民交通出版社
M15	中国水利水电出版社 (原水利电力出版社)
M16	中国农业出版社
M17	农村读物出版社
M18	文物出版社
M19	今日中国出版社
M20	华语教学出版社
M21	中国广播电视出版社
M22	人民卫生出版社
M23	人民体育出版社
M24	北京体育大学出版社
M25	中国计量出版社
M26	人民音乐出版社
M27	商务印书馆
M28	中国对外翻译出版公司
M29	中国旅游出版社
M30	中国医药科技出版社
M31	金城出版社
M32	科学出版社
M33	中国青年出版社
M34	中国少年儿童出版社
M35	中国文联出版公司
M36	中国电影出版社
M37	中国和平出版社
M38	团结出版社
M39	中国检察出版社
M40	经济日报出版社
M41	中央文献出版社
M42	当代中国出版社
M43	社会科学文献出版社
M44	中国标准出版社
M45	中国国际广播出版社
M46	世界图书出版公司
M47	中国妇女出版社
M49	学习出版社
M50	人民邮电出版社
M51	五洲传播出版社
M52	商务印书馆国际有限公司
M53	金盾出版社
M54	中国电力出版社 (原水利电力出版社)
P01	北京出版社
P02	新蕾出版社
P03	河北教育出版社
P06	方圆电子音像出版社 (原河北电子音像出版社)
Q03	东北工学院出版社
Q04	东北师范大学出版社
Q05	吉林大学出版社
Q06	吉林音像出版社 (原吉林出版集团)
Q07	辽宁音像出版社 (原辽宁人民出版社、辽宁少年儿童出版社合并为辽宁出版实业公司)
R01	少年儿童出版社
R02	上海译文出版社
R03	上海科学技术出版社
R04	上海教育出版社
R05	上海交通大学出版社
R06	复旦大学出版社
R07	同济大学出版社
R08	华东师范大学出版社
R09	上海远东出版社 (原上海翻译出版公司)
R10	上海文艺出版社
R11	上海文化出版社
R12	上海音乐出版社
R13	东南大学出版社
R16	浙江大学出版社
R19	上海中医学院出版社
R20	福建省出版总社
R21	江苏省出版总社
R22	浙江省电子音像出版社
R23	江西省出版总社
R24	安徽省出版总社 (原安徽科学技术出版社)
R25	山东省出版总社 (原山东教育出版社)
S07	花城出版社
S08	广东科技出版社
S09	广东教育出版社
S10	海南出版社
S11	金海湾音像出版社 (原广西金海湾音像实业联合公司)
T03	成都科技大学出版社
T04	西南交通大学出版社
T05	四川出版集团 (原四川少年儿童出版社、四川科学技术出版社合并)
U01	西北工业大学出版社
U02	甘肃人民出版社
X01	北京影音幻灯出版社 (原北京幻灯出版公司)
